nome_do_arquivo;coluna;matricula;resposta
completo-teste-matricula-duplicada.pdf;column_1;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-0-0-1
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_1;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_2;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-0-0-0-1
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-0-0-0-1
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_3;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-0-0-1
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;1-0-0-0-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-1-0-0-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-1-0-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-0-0-1
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-0-0-1
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-0-1-0
completo-teste-matricula-duplicada.pdf;column_4;_12__530;0-0-1-0-0
